Date,AMAN_gross_nav,AMAN_net_nav
2004-11-19,1000000.0,899928.5714285714
2004-11-22,1000000.0,899857.148526077
2004-11-23,1000000.0,899785.731292067
2004-11-24,1000000.0,899714.3197260913
2004-11-25,1000000.0,899642.9138277003
2004-11-26,1000000.0,899571.5135964442
2004-11-29,1000000.0,899500.119031873
2004-11-30,1000000.0,899428.7301335371
2004-12-01,1000000.0,899357.3469009867
2004-12-02,1000000.0,899285.9693337723
2004-12-03,1000000.0,899214.5974314442
2004-12-06,1000000.0,899143.2311935528
2004-12-07,1000000.0,899071.8706196486
2004-12-08,1000000.0,899000.5157092819
2004-12-09,1000000.0,898929.1664620034
2004-12-10,1000000.0,898857.8228773635
2004-12-13,1000000.0,898786.4849549129
2004-12-14,1000000.0,898715.1526942021
2004-12-15,1000000.0,898643.826094782
2004-12-16,1000000.0,898572.5051562029
2004-12-17,1000000.0,898501.1898780159
2004-12-20,1000000.0,898429.8802597716
2004-12-21,1000000.0,898358.5763010208
2004-12-22,1000000.0,898287.2780013144
2004-12-23,1000000.0,898215.9853602031
2004-12-24,1000000.0,898144.6983772379
2004-12-27,1000000.0,898073.4170519698
2004-12-28,1000000.0,898002.1413839498
2004-12-29,1000000.0,897930.8713727288
2004-12-30,1000000.0,897859.607017858
2004-12-31,1000000.0,897788.3483188882
2005-01-03,1000000.0,897717.0952753709
2005-01-04,1000000.0,897645.8478868569
2005-01-05,1000000.0,897574.6061528976
2005-01-06,1000000.0,897503.3700730441
2005-01-07,1000000.0,897432.1396468477
2005-01-10,1000000.0,897360.9148738598
2005-01-11,1000000.0,897289.6957536318
2005-01-12,1000000.0,897218.4822857148
2005-01-13,1000000.0,897147.2744696604
2005-01-14,1000000.0,897076.0723050198
2005-01-17,1000000.0,897004.8757913448
2005-01-18,1000000.0,896933.6849281867
2005-01-19,1000000.0,896862.4997150971
2005-01-20,1000000.0,896791.3201516276
2005-01-21,1000000.0,896720.1462373298
2005-01-24,1000000.0,896648.9779717554
2005-01-25,1000000.0,896577.8153544561
2005-01-26,1000000.0,896506.6583849834
2005-01-27,1000000.0,896435.5070628893
2005-01-28,1000000.0,896364.3613877256
2005-01-31,1000000.0,896293.221359044
2005-02-01,1000000.0,896222.0869763964
2005-02-02,1000000.0,896150.9582393348
2005-02-03,1000000.0,896079.835147411
2005-02-04,1000000.0,896008.717700177
2005-02-07,1000000.0,895937.6058971849
2005-02-08,1000000.0,895866.4997379867
2005-02-09,1000000.0,895795.3992221345
2005-02-10,1000000.0,895724.3043491803
2005-02-11,1000000.0,895653.2151186764
2005-02-14,1000000.0,895582.1315301749
2005-02-15,1000000.0,895511.053583228
2005-02-16,1000000.0,895439.981277388
2005-02-17,1000000.0,895368.9146122072
2005-02-18,1000000.0,895297.853587238
2005-02-21,1000000.0,895226.7982020326
2005-02-22,1000000.0,895155.7484561434
2005-02-23,1000000.0,895084.704349123
2005-02-24,1000000.0,895013.6658805239
2005-02-25,1000000.0,894942.6330498984
2005-02-28,1000000.0,894871.6058567992
2005-03-01,1000000.0,894800.5843007788
2005-03-02,1000000.0,894729.5683813898
2005-03-03,1000000.0,894658.5580981849
2005-03-04,1000000.0,894587.5534507168
2005-03-07,1000000.0,894516.5544385382
2005-03-08,1000000.0,894445.5610612017
2005-03-09,1000000.0,894374.5733182604
2005-03-10,1000000.0,894303.5912092668
2005-03-11,1000000.0,894232.614733774
2005-03-14,1000000.0,894161.6438913348
2005-03-15,1000000.0,894090.6786815021
2005-03-16,1000000.0,894019.7191038289
2005-03-17,1000000.0,893948.7651578683
2005-03-18,1000000.0,893877.8168431731
2005-03-21,1000000.0,893806.8741592966
2005-03-22,1000000.0,893735.9371057919
2005-03-23,1000000.0,893665.0056822121
2005-03-24,1000000.0,893594.0798881103
2005-03-25,1000000.0,893523.1597230397
2005-03-28,1000000.0,893452.2451865537
2005-03-29,1000000.0,893381.3362782055
2005-03-30,1000000.0,893310.4329975485
2005-03-31,1000000.0,893239.535344136
2005-04-01,1000000.0,893168.6433175213
2005-04-04,1000000.0,893097.756917258
2005-04-05,1000000.0,893026.8761428995
2005-04-06,1000000.0,892956.0009939992
2005-04-07,1000000.0,892885.1314701107
2005-04-08,1000000.0,892814.2675707877
2005-04-11,1000000.0,892743.4092955836
2005-04-12,1000000.0,892672.5566440522
2005-04-13,1000000.0,892601.709615747
2005-04-14,1000000.0,892530.8682102219
2005-04-15,1000000.0,892460.0324270305
2005-04-18,1000000.0,892389.2022657268
2005-04-19,1000000.0,892318.3777258643
2005-04-20,1000000.0,892247.5588069971
2005-04-21,1000000.0,892176.7455086791
2005-04-22,1000000.0,892105.9378304641
2005-04-25,1000000.0,892035.1357719061
2005-04-26,1000000.0,891964.3393325591
2005-04-27,1000000.0,891893.5485119772
2005-04-28,1000000.0,891822.7633097143
2005-04-29,1000000.0,891751.9837253246
2005-05-02,1000000.0,891681.2097583623
2005-05-03,1000000.0,891610.4414083814
2005-05-04,1000000.0,891539.6786749363
2005-05-05,1000000.0,891468.921557581
2005-05-06,1000000.0,891398.1700558701
2005-05-09,1000000.0,891327.4241693576
2005-05-10,1000000.0,891256.6838975981
2005-05-11,1000000.0,891185.9492401459
2005-05-12,1000000.0,891115.2201965554
2005-05-13,1000000.0,891044.496766381
2005-05-16,1000000.0,890973.7789491772
2005-05-17,1000000.0,890903.0667444987
2005-05-18,1000000.0,890832.3601518999
2005-05-19,1000000.0,890761.6591709354
2005-05-20,1000000.0,890690.9638011599
2005-05-23,1000000.0,890620.274042128
2005-05-24,1000000.0,890549.5898933945
2005-05-25,1000000.0,890478.9113545141
2005-05-26,1000000.0,890408.2384250414
2005-05-27,1000000.0,890337.5711045315
2005-05-30,1000000.0,890266.9093925391
2005-05-31,1000000.0,890196.253288619
2005-06-01,1000000.0,890125.6027923262
2005-06-02,1000000.0,890054.9579032157
2005-06-03,1000000.0,889984.3186208423
2005-06-06,1000000.0,889913.6849447612
2005-06-07,1000000.0,889843.0568745275
2005-06-08,1000000.0,889772.4344096961
2005-06-09,1000000.0,889701.8175498223
2005-06-10,1000000.0,889631.2062944612
2005-06-13,1000000.0,889560.6006431679
2005-06-14,1000000.0,889490.0005954977
2005-06-15,1000000.0,889419.4061510059
2005-06-16,1000000.0,889348.8173092478
2005-06-17,1000000.0,889278.2340697788
2005-06-20,1000000.0,889207.6564321542
2005-06-21,1000000.0,889137.0843959295
2005-06-22,1000000.0,889066.5179606599
2005-06-23,1000000.0,888995.9571259011
2005-06-24,1000000.0,888925.4018912086
2005-06-27,1000000.0,888854.8522561379
2005-06-28,1000000.0,888784.3082202445
2005-06-29,1000000.0,888713.769783084
2005-06-30,1000000.0,888643.2369442123
2005-07-01,1000000.0,888572.709703185
2005-07-04,1000000.0,888502.1880595577
2005-07-05,1000000.0,888431.6720128863
2005-07-06,1000000.0,888361.1615627265
2005-07-07,1000000.0,888290.6567086341
2005-07-08,1000000.0,888220.1574501651
2005-07-11,1000000.0,888149.6637868754
2005-07-12,1000000.0,888079.1757183209
2005-07-13,1000000.0,888008.6932440575
2005-07-14,1000000.0,887938.2163636412
2005-07-15,1000000.0,887867.7450766282
2005-07-18,1000000.0,887797.2793825744
2005-07-19,1000000.0,887726.819281036
2005-07-20,1000000.0,887656.3647715693
2005-07-21,1000000.0,887585.9158537302
2005-07-22,1000000.0,887515.4725270751
2005-07-25,1000000.0,887445.0347911603
2005-07-26,1000000.0,887374.6026455419
2005-07-27,1000000.0,887304.1760897763
2005-07-28,1000000.0,887233.7551234199
2005-07-29,1000000.0,887163.3397460291
2005-08-01,1000000.0,887092.9299571604
2005-08-02,1000000.0,887022.52575637
2005-08-03,1000000.0,886952.1271432147
2005-08-04,1000000.0,886881.7341172509
2005-08-05,1000000.0,886811.3466780352
