Date,EW_gross_nav,EW_net_nav,60_40_gross_nav,60_40_net_nav
2004-11-19,995121.4039052544,895537.8349433003,992222.8918757433,892929.1741167404
2004-11-22,998923.0091026964,898887.9323151807,995399.5804958375,895717.0977952173
2004-11-23,999392.0932797971,899238.7007163698,996566.1660755516,896695.7691227682
2004-11-24,1005859.5031170739,903989.2922925706,1001959.5035660461,901181.9596567706
2004-11-25,1005859.5031170739,903917.5471106425,1001959.5035660461,901110.43727902
2004-11-26,1006998.4277576624,904693.301984626,1001299.1353165543,900445.0196066544
2004-11-29,1005276.6706392763,903074.6642212163,997900.4073567474,897317.1587250759
2004-11-30,1003731.0920102407,901614.5451023942,997408.3400064402,896803.473595209
2004-12-01,1014485.6375154915,909901.3797285394,1006879.3595589214,904434.8013572544
2004-12-02,1010223.466864135,906006.3857759844,1004102.9314879435,901869.079366566
2004-12-03,1018949.8953331623,912988.8116576739,1011880.1134643081,907913.2338993557
2004-12-06,1017071.1735635675,911232.9996279035,1012304.371371372,908160.1222156581
2004-12-07,1011195.4995264066,905896.4382477764,1006701.4003152661,903061.4996298426
2004-12-08,1009343.1825375392,904165.1124814247,1011259.0536825772,907078.2710737775
2004-12-09,1009165.0819746038,903933.811657111,1011665.3685522422,907370.736695069
2004-12-10,1007839.1002010611,902674.3566182188,1012215.3290664977,907791.9871154962
2004-12-13,1014392.8050096543,908472.562749397,1016748.9446194583,911060.7072702328
2004-12-14,1013679.371861167,907761.5234263364,1018057.1827791797,911940.6624864537
2004-12-15,1018230.9278564027,911765.4495464783,1021307.3103661182,914211.8436339047
2004-12-16,1011969.6079840728,906086.4463461547,1014900.4625118397,908404.2687660508
2004-12-17,1014433.7579551585,908220.8587799515,1014740.468024005,908188.9673467233
2004-12-20,1016556.2463805415,910049.0381217435,1016412.5452184455,909613.3917645415
2004-12-21,1021607.5296947027,914196.8498500921,1022298.8498691716,914689.5716876405
2004-12-22,1022792.7565400722,914987.2963357271,1024194.5739010213,915988.4371382914
2004-12-23,1023636.316140256,915532.9185910476,1023612.2209677539,915394.9122860578
2004-12-24,1023636.316140256,915460.2572483022,1023612.2209677539,915322.2618961938
2004-12-27,1023402.0606951226,915178.1019245366,1021543.250559352,913399.5273307281
2004-12-28,1026125.7453075934,917139.484406221,1024743.2825144517,916148.3290234668
2004-12-29,1022919.3766366268,914200.8798206059,1024410.664528912,915778.2493248587
2004-12-30,1025104.844545804,916081.5149657009,1026574.728856354,917341.7835656771
2004-12-31,1025384.0518633281,916258.3227688123,1027239.2402135971,917758.5827286352
2005-01-03,1017310.2266163331,908971.0294071063,1023220.6113732642,914095.4115842978
2005-01-04,1005274.4989892294,898144.9148453776,1011172.6443429395,903259.7979301141
2005-01-05,997078.2421747602,890750.8312373951,1003594.3071785286,896418.5373831948
2005-01-06,997386.4338380874,890955.463144383,1006540.1216404502,898978.6183143504
2005-01-07,994127.0735213597,887973.1979726829,1004565.3200242192,897143.5016414311
2005-01-10,995831.1840787027,889424.8678501085,1005735.2949573363,898117.1650402384
2005-01-11,993693.2528939848,887444.7891033314,1002732.9534169879,895364.808198876
2005-01-12,997144.7733352447,890456.8311926293,1004670.00852005,897023.3914343353
2005-01-13,994628.3213908408,888138.9519027631,1002937.9941780788,895405.7635896507
2005-01-14,997672.7091507021,890786.9066350638,1007208.7787692012,899147.5825503087
2005-01-17,997672.7091507021,890716.2092615213,1007208.7787692012,899076.2216310586
2005-01-18,1001781.758544394,894314.0521456129,1011286.2933514138,902644.6245680106
2005-01-19,997630.248355284,890536.9244053437,1007500.6612321202,899194.0413840185
2005-01-20,994760.083244834,887904.1874170587,1005003.9064093905,896894.3238386642
2005-01-21,997218.8182364067,890028.3395554285,1005556.4975946596,897316.2899793534
2005-01-24,995693.1377069642,888596.0163810271,1003853.571708003,895725.4550234738
2005-01-25,989367.7968961804,882880.508068687,999214.1493933155,891514.6696533485
2005-01-26,993900.2669305273,886855.0709912791,1001709.592200084,893670.3880659376
2005-01-27,992489.9909094856,885526.2994071356,1000311.5999605262,892352.2498014047
2005-01-28,993704.9275837084,886540.0187632467,1002240.3480894829,894002.0147917364
2005-01-31,993544.5243916868,886326.5537409621,1004355.822905497,895818.0734367326
2005-02-01,996802.620489974,889162.7102896102,1008081.4728474998,899070.0067872921
2005-02-02,1000210.5818605904,892132.0938697928,1011264.0786600731,901837.0986252301
2005-02-03,996606.9225084801,888847.0264375127,1009591.7747135619,900274.1771640934
2005-02-04,1002500.8569187341,894033.1252918524,1017622.1422728826,907363.5741451842
2005-02-07,999724.5270278164,891486.2313616693,1016189.2503549963,906013.9219707532
2005-02-08,1000582.6188898155,892180.6663549565,1017300.0835665568,906932.4126804632
2005-02-09,1001068.1518791332,892542.7892777824,1018541.8164901307,907967.4502782834
2005-02-10,1006274.1309239233,897113.553671072,1020394.9334077782,909547.3292462679
2005-02-11,1011327.8320322783,901547.829998053,1023645.0180102956,912372.1641655737
2005-02-14,1015303.6699371102,905020.537844901,1025645.2464303107,914082.5521077302
2005-02-15,1018154.5817847659,907489.9542412242,1028069.7684157756,916170.8048941777
2005-02-16,1016660.0360565031,906085.82973986,1026106.5079338541,914348.521066506
2005-02-17,1015837.8805774237,905281.1821451625,1023806.4933243282,912226.4443009157
2005-02-18,1014412.654701148,903939.2201839795,1021240.4512257708,909867.6646253663
2005-02-21,1014412.654701148,903867.4789760284,1021240.4512257708,909795.4529059515
2005-02-22,1009023.2684400904,898993.663213283,1011921.1976763746,901420.9763861933
2005-02-23,1009278.4827664316,899149.6988223052,1013040.9815205901,902346.9402285063
2005-02-24,1010328.0228336058,900013.3558212003,1014180.1212608167,903289.9923973992
2005-02-25,1018668.823672882,907372.0201631663,1022044.3426739773,910222.6526840602
2005-02-28,1015101.0232726769,904122.013642589,1016997.9563665512,905656.150713088
2005-03-01,1017918.6459006853,906559.8353837646,1021271.9312061371,909390.3296613087
2005-03-02,1015049.0145742091,903932.1883324843,1018226.6744998716,906606.5107530464
2005-03-03,1014896.8118128122,903724.906469134,1019271.2782887348,907464.6499653645
2005-03-04,1027639.5724033664,915000.0995024015,1031046.3338401292,917852.5539567517
2005-03-07,1028321.4329606651,915534.6023352689,1031351.6018698673,918011.6808625689
2005-03-08,1028629.192064729,915735.94478405,1028025.081345184,914977.8687467724
2005-03-09,1017976.2627329982,906179.5093504427,1015857.9561780441,904076.0893502984
2005-03-10,1021673.2832765596,909398.5946459593,1019082.3391501651,906873.9191245728
2005-03-11,1018111.0382470757,906155.6407313648,1013614.0381207763,901935.7439180282
2005-03-14,1020225.4662601973,907965.6410101469,1018031.8279571898,905795.2068799937
2005-03-15,1016759.3292501579,904808.8372972489,1014043.6441956192,902174.8264322794
2005-03-16,1014462.6393417643,902693.2146713694,1011065.3932089554,899453.5335166233
2005-03-17,1015313.669252712,903378.8392015203,1014926.0837907334,902816.6559239787
2005-03-18,1013396.3168357157,901601.1715419638,1012175.8707952007,900298.5812173062
2005-03-21,1005963.5960307425,894916.8527777774,1008199.4217353329,896690.2026595852
2005-03-22,994483.8430518596,884633.3065742397,997277.8429778627,886905.4102217392
2005-03-23,992367.6347647742,882680.645345267,996689.1318501318,886311.4646168031
2005-03-24,992996.2931974701,883169.7637651556,997629.723615826,887077.5490005994
2005-03-25,992996.2931974701,883099.6709267615,997629.723615826,887007.14602052
2005-03-28,992338.6893789391,882444.7579880703,995614.0152466014,885144.5529009756
2005-03-29,989949.6626244836,880250.2624034991,993941.7307020873,883587.5689836178
2005-03-30,997684.9125264487,887058.4840802477,1001929.0642411626,890617.9685062905
2005-03-31,998730.4474218793,887917.6853242423,1002978.0873063906,891479.7645180254
2005-04-01,996955.2041224587,886268.9420440213,1002538.6923319768,891018.4635153897
2005-04-04,995348.4832377387,884770.2674294515,1001862.0187169424,890346.3458539658
2005-04-05,997159.294976936,886309.687219536,1003472.3135932405,891706.7389522855
